1979	SN	601
1982	CQ	95
1984	AQ	3
1985	MN	37
1987	KN	2619
1989	IN	10228
1990	UK	29762
1993	EN	2143
1995	CN	458
1995	PK	21846
1996	BN	885
1996	UY	2548
1997	AN	30
1998	MK	14634
1998	SY	29435
2003	HK	14684
2004	GK	28
2004	MY	24885
2004	TH	32332
2005	LY	7944
2005	SH	40
2006	EK	1101
2009	BK	16262
2009	UV	6478
2010	GY	8003
2010	NH	2924
2010	TV	857
2011	MH	11695
2011	SV	748
2012	LH	14272
1979	MB	10
1979	SP	2864
1980	ES	3250
1980	RP	2291
1982	CS	1726
1982	PP	101
1984	AS	3046
1984	NP	503
1985	GB	251
1985	MP	62
1986	YM	3633
1989	CB	9515
1989	VM	12113
1990	BB	204
1991	GP	26
1992	FP	53
1992	SM	8
1993	RM	23
1995	PM	1536
1996	BP	527
2001	JM	1627
2002	IM	12
2004	GM	58668
2005	FM	3492
2008	CM	13936
2009	BM	92352
2010	AM	84500
2010	TX	14574
2011	MJ	4033
1980	LE	4952
1980	RS	46330
1981	KE	2373
1982	CV	170
1982	JE	87
1982	PS	11
1983	OS	355
1984	AV	27
1984	NS	201
1986	LS	23
1987	KS	12892
1987	RB	1295
1989	CE	8289
1989	IS	45913
1990	BE	3304
1990	UP	2265
1991	AE	2233
1991	TP	120
1992	MB	2
1992	SP	4234
1993	ES	2789
1993	RP	8634
1995	CS	824
1995	PP	1366
1997	AS	20273
1997	NP	4381
1998	GB	1593
1998	MP	1224
1999	YM	11423
2002	CB	11682
2002	VM	20631
2003	BB	1171
2004	GP	43
2005	FP	292
2005	SM	56
2006	RM	350
2008	PM	12260
2009	BP	2867
1979	ST	11
1982	CW	11
1983	VC	4
1984	NT	32
1985	MT	976
1986	LT	1626
1986	SC	6
1988	WQ	6
1989	CF	363
1989	IT	8256
1989	VQ	137
1990	BF	130
1990	OC	387
1991	AF	8500
1991	GT	1692
1991	NC	103
1992	MC	211
1993	ET	3096
1993	RQ	450
1995	CT	361
1996	BT	455
1996	IC	508
2000	EC	4807
2001	JQ	2
2003	BC	5856
2004	AC	651
2004	GQ	166
2004	TN	806
2005	SN	8754
2006	RN	7
2008	CQ	33748
2010	AQ	954
2011	MN	4293
2013	KN	69961
1979	GA	65
1979	MO	1144
1980	LO	2031
1982	DA	951
1982	JO	5672
1983	CA	7990
1984	BA	692
1984	HO	6262
1985	AA	52
1986	FO	39
1986	SL	250
1988	DO	41
1988	WZ	359
1989	CO	11196
1989	PL	21194
1990	BO	180
1990	UZ	912
1991	AO	6260
1991	NL	4455
1991	TZ	2590
1992	ML	538
1992	SZ	2838
1992	ZI	2094
1993	YI	2342
1995	WI	139
1996	VI	154
1997	NZ	5112
1998	GL	450
1998	MZ	9351
1998	TI	14079
1999	SI	4840
2000	KZ	12947
2000	RI	31608
2002	IZ	119639
2003	BL	7027
2004	AL	16937
2004	GZ	17432
2004	NI	163187
2004	TW	35814
2005	MI	5294
2005	SW	9626
2006	EZ	13662
2006	LI	29119
